"text","label","explain"
"John Perry Barlow","PERSON","People, including fictional"
"Industrial World","ORG","Companies, agencies, institutions, etc."
"Cyberspace","PERSON","People, including fictional"
"Social Contract","ORG","Companies, agencies, institutions, etc."
"Cyberspace","PERSON","People, including fictional"
"Golden Rule","LAW","Named documents made into laws."
"United States","GPE","Countries, cities, states"
"today","DATE","Absolute or relative dates or periods"
"Telecommunications Reform Act","LAW","Named documents made into laws."
"Constitution","LAW","Named documents made into laws."
"Jefferson","GPE","Countries, cities, states"
"Washington, Mill","GPE","Countries, cities, states"
"Madison","PERSON","People, including fictional"
"DeToqueville","PERSON","People, including fictional"
"Brandeis","PERSON","People, including fictional"
"China","GPE","Countries, cities, states"
"Germany","GPE","Countries, cities, states"
"France","GPE","Countries, cities, states"
"Russia","GPE","Countries, cities, states"
"Singapore","GPE","Countries, cities, states"
"Italy","GPE","Countries, cities, states"
"United States","GPE","Countries, cities, states"
"Cyberspace","PERSON","People, including fictional"
"America","GPE","Countries, cities, states"
"Cyberspace","GPE","Countries, cities, states"
"Davos","GPE","Countries, cities, states"
"Switzerland","GPE","Countries, cities, states"
"February 8, 1996","DATE","Absolute or relative dates or periods"
"Martian","NORP","Nationalities or religious or political groups"
"Mars Jimmy","PERSON","People, including fictional"
"1600","DATE","Absolute or relative dates or periods"
"914","CARDINAL","Numerals that do not fall under another type"
"238 8195","CARDINAL","Numerals that do not fall under another type"
"300 1200","CARDINAL","Numerals that do not fall under another type"
" Outland    A Neon Knights Metal Communications Release                           Milliways","WORK_OF_ART","Titles of books, songs, etc."
"609","CARDINAL","Numerals that do not fall under another type"
"921 1994","DATE","Absolute or relative dates or periods"
"second","ORDINAL","""first"", ""second"", etc."
"christmas season","DATE","Absolute or relative dates or periods"
"thier day","DATE","Absolute or relative dates or periods"
"Christmas season","DATE","Absolute or relative dates or periods"
"Santa Clause","ORG","Companies, agencies, institutions, etc."
"one","CARDINAL","Numerals that do not fall under another type"
"Santa Clauses","LOC","Non-GPE locations, mountain ranges, bodies of water"
"two","CARDINAL","Numerals that do not fall under another type"
"Saint Nick","PERSON","People, including fictional"
"Santa","GPE","Countries, cities, states"
"one","CARDINAL","Numerals that do not fall under another type"
"night","TIME","Times smaller than a day"
"Santa Claus","PERSON","People, including fictional"
"Milliways","DATE","Absolute or relative dates or periods"
"609","CARDINAL","Numerals that do not fall under another type"
"503","CARDINAL","Numerals that do not fall under another type"
"313","CARDINAL","Numerals that do not fall under another type"
"201","CARDINAL","Numerals that do not fall under another type"
"879 6668","CARDINAL","Numerals that do not fall under another type"
"Mordar","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"201","CARDINAL","Numerals that do not fall under another type"
"528","CARDINAL","Numerals that do not fall under another type"
"6467","DATE","Absolute or relative dates or periods"
"1600","DATE","Absolute or relative dates or periods"
"914","CARDINAL","Numerals that do not fall under another type"
"238 8195","CARDINAL","Numerals that do not fall under another type"
"300 1200","CARDINAL","Numerals that do not fall under another type"
"Pez","PERSON","People, including fictional"
"Leeching","GPE","Countries, cities, states"
"Pez","PERSON","People, including fictional"
"13 March 1987","DATE","Absolute or relative dates or periods"
"10 55pm","TIME","Times smaller than a day"
"i.         ","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"1400","CARDINAL","Numerals that do not fall under another type"
"second","ORDINAL","""first"", ""second"", etc."
"one","CARDINAL","Numerals that do not fall under another type"
"Jason","PERSON","People, including fictional"
"Scott","PERSON","People, including fictional"
"at least half","CARDINAL","Numerals that do not fall under another type"
"end of this","DATE","Absolute or relative dates or periods"
"Anarchy inc.","ORG","Companies, agencies, institutions, etc."
"Jason","PERSON","People, including fictional"
"Scott","PERSON","People, including fictional"
"last year","DATE","Absolute or relative dates or periods"
"Neon Knights","PERSON","People, including fictional"
"Phrack","FAC","Buildings, airports, highways, bridges, etc."
"Taran","PERSON","People, including fictional"
"12","CARDINAL","Numerals that do not fall under another type"
"Phrack 11","LAW","Named documents made into laws."
"Thomas Covenant","PERSON","People, including fictional"
"Phrack","GPE","Countries, cities, states"
"couple of years ago","DATE","Absolute or relative dates or periods"
"Technical  Journal","ORG","Companies, agencies, institutions, etc."
"Thomas  Covenant","PERSON","People, including fictional"
"Jason","PERSON","People, including fictional"
"Scott","PERSON","People, including fictional"
"Apples","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"Thomas","PERSON","People, including fictional"
"Tristan Farnon","PERSON","People, including fictional"
"Starry Night  ","WORK_OF_ART","Titles of books, songs, etc."
"two","CARDINAL","Numerals that do not fall under another type"
"one","CARDINAL","Numerals that do not fall under another type"
"50","CARDINAL","Numerals that do not fall under another type"
"11 26","DATE","Absolute or relative dates or periods"
"English","LANGUAGE","Any named language"
"450","CARDINAL","Numerals that do not fall under another type"
"Three","CARDINAL","Numerals that do not fall under another type"
"Phido Phreaks","PERSON","People, including fictional"
"OctoThorpe Productions","ORG","Companies, agencies, institutions, etc."
"Octothorpe","ORG","Companies, agencies, institutions, etc."
"Phido Phreaks","PERSON","People, including fictional"
"Thomas Covenant","PERSON","People, including fictional"
"Entropy Associates","ORG","Companies, agencies, institutions, etc."
"Chemistry","GPE","Countries, cities, states"
"RM","ORG","Companies, agencies, institutions, etc."
"MM","PERSON","People, including fictional"
"10","CARDINAL","Numerals that do not fall under another type"
"Entropy Associates","ORG","Companies, agencies, institutions, etc."
"Zack","PERSON","People, including fictional"
"OctoThorpe","ORG","Companies, agencies, institutions, etc."
"Jason Scott","PERSON","People, including fictional"
"1","CARDINAL","Numerals that do not fall under another type"
"at least 10 months","DATE","Absolute or relative dates or periods"
"Jason","PERSON","People, including fictional"
"Mathematician","PERSON","People, including fictional"
"Jason","PERSON","People, including fictional"
"1500","CARDINAL","Numerals that do not fall under another type"
"Cruiser","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"Jason","PERSON","People, including fictional"
"Cruiser","PERSON","People, including fictional"
"Octothorpe","ORG","Companies, agencies, institutions, etc."
"Jason","PERSON","People, including fictional"
"Octothorpe","ORG","Companies, agencies, institutions, etc."
"Uncut","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"8,400","CARDINAL","Numerals that do not fall under another type"
"15,000","CARDINAL","Numerals that do not fall under another type"
"Aztec","NORP","Nationalities or religious or political groups"
"night","TIME","Times smaller than a day"
"DMT","ORG","Companies, agencies, institutions, etc."
"Poor Man's James Bond","WORK_OF_ART","Titles of books, songs, etc."
"Kurt Saxon","PERSON","People, including fictional"
"a'chucklin","PERSON","People, including fictional"
"Silver Ghost","ORG","Companies, agencies, institutions, etc."
"12 05","DATE","Absolute or relative dates or periods"
"tomorrow","DATE","Absolute or relative dates or periods"
"three","CARDINAL","Numerals that do not fall under another type"
"14th","DATE","Absolute or relative dates or periods"
"Xmodem","ORG","Companies, agencies, institutions, etc."
"10","CARDINAL","Numerals that do not fall under another type"
"pez","PERSON","People, including fictional"
"BRUCE","ORG","Companies, agencies, institutions, etc."
"GOLDMAN","ORG","Companies, agencies, institutions, etc."
"about 50","CARDINAL","Numerals that do not fall under another type"
"99 minutes","TIME","Times smaller than a day"
"532","CARDINAL","Numerals that do not fall under another type"
"8","CARDINAL","Numerals that do not fall under another type"
"350","CARDINAL","Numerals that do not fall under another type"
"AE","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"AE","PERSON","People, including fictional"
"IBM","ORG","Companies, agencies, institutions, etc."
"three","CARDINAL","Numerals that do not fall under another type"
"AE","FAC","Buildings, airports, highways, bridges, etc."
"TransPhor","ORG","Companies, agencies, institutions, etc."
"Brew  Associates","ORG","Companies, agencies, institutions, etc."
"day","DATE","Absolute or relative dates or periods"
"day","DATE","Absolute or relative dates or periods"
"PD","ORG","Companies, agencies, institutions, etc."
"5","CARDINAL","Numerals that do not fall under another type"
"one","CARDINAL","Numerals that do not fall under another type"
"20","CARDINAL","Numerals that do not fall under another type"
"1","CARDINAL","Numerals that do not fall under another type"
"12 30  pm","TIME","Times smaller than a day"
"night","TIME","Times smaller than a day"
"1 00","DATE","Absolute or relative dates or periods"
"PD board","ORG","Companies, agencies, institutions, etc."
"at least three","CARDINAL","Numerals that do not fall under another type"
"about 5 megs","QUANTITY","Measurements, as of weight or distance"
"Procomm","ORG","Companies, agencies, institutions, etc."
"DOS","ORG","Companies, agencies, institutions, etc."
"Norton Utilities","ORG","Companies, agencies, institutions, etc."
"Lotus","ORG","Companies, agencies, institutions, etc."
"Jason","PERSON","People, including fictional"
"about 5 megs","QUANTITY","Measurements, as of weight or distance"
"two","CARDINAL","Numerals that do not fall under another type"
"ARCed","ORG","Companies, agencies, institutions, etc."
"about 50","CARDINAL","Numerals that do not fall under another type"
"Brew Associate's","ORG","Companies, agencies, institutions, etc."
"CodeThief","ORG","Companies, agencies, institutions, etc."
"three","CARDINAL","Numerals that do not fall under another type"
"one","CARDINAL","Numerals that do not fall under another type"
"Procomm","PERSON","People, including fictional"
"AE","FAC","Buildings, airports, highways, bridges, etc."
"WAITFOR","ORG","Companies, agencies, institutions, etc."
"PCBoard","ORG","Companies, agencies, institutions, etc."
"Works","ORG","Companies, agencies, institutions, etc."
"Main Board Command","ORG","Companies, agencies, institutions, etc."
"Shit","LOC","Non-GPE locations, mountain ranges, bodies of water"
"Procomm","PERSON","People, including fictional"
"Boo","PERSON","People, including fictional"
"about 100","CARDINAL","Numerals that do not fall under another type"
"Jason","PERSON","People, including fictional"
"Andrew Swartz","PERSON","People, including fictional"
"DataMaster","ORG","Companies, agencies, institutions, etc."
"Michael Jackson","PERSON","People, including fictional"
"50","CARDINAL","Numerals that do not fall under another type"
"Jason","PERSON","People, including fictional"
"Donna","PERSON","People, including fictional"
"DOS","PERSON","People, including fictional"
"CGA","ORG","Companies, agencies, institutions, etc."
"44k","DATE","Absolute or relative dates or periods"
"TAP","ORG","Companies, agencies, institutions, etc."
"1 33","DATE","Absolute or relative dates or periods"
"19k","DATE","Absolute or relative dates or periods"
"220k","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"Howard","PERSON","People, including fictional"
"Michigan","GPE","Countries, cities, states"
"about 5   days","DATE","Absolute or relative dates or periods"
"Phracks","PERSON","People, including fictional"
"LOD H Technical Journal","ORG","Companies, agencies, institutions, etc."
"87","CARDINAL","Numerals that do not fall under another type"
"8","CARDINAL","Numerals that do not fall under another type"
"N_a_m_e","ORG","Companies, agencies, institutions, etc."
"N_u_m_b_e_r","PERSON","People, including fictional"
"914","CARDINAL","Numerals that do not fall under another type"
"PCBoard","ORG","Companies, agencies, institutions, etc."
"Jason Scott","PERSON","People, including fictional"
"300 1200","CARDINAL","Numerals that do not fall under another type"
"408","CARDINAL","Numerals that do not fall under another type"
"245","CARDINAL","Numerals that do not fall under another type"
"SPAM","ORG","Companies, agencies, institutions, etc."
"DS 3 Club","ORG","Companies, agencies, institutions, etc."
"3 12 2400","CARDINAL","Numerals that do not fall under another type"
"616","CARDINAL","Numerals that do not fall under another type"
"Thomas Covenant","PERSON","People, including fictional"
"300 1200","CARDINAL","Numerals that do not fall under another type"
"505","CARDINAL","Numerals that do not fall under another type"
"300 1200","CARDINAL","Numerals that do not fall under another type"
"314","CARDINAL","Numerals that do not fall under another type"
"WWIV Forum","ORG","Companies, agencies, institutions, etc."
"Wolf","PERSON","People, including fictional"
