one,426
first,359
two,302
1,285
2,260
3,223
10,172
24,170
IBM,170
4,165
5,149
Secret Service,132
American,124
second,113
three,105
Bell,104
20,100
One,89
6,86
8,84
Kapor,83
today,82
12,81
Neidorf,76
America,74
Prophet,71
9,70
7,70
3 12,70
E911 Document,68
Luke,65
First,65
Apple,63
1990,62
MCI,60
300 1200,58
Legion of Doom,58
93,58
Chicago,56
FBI,56
LoD,54
Phoenix,53
four,53
EFF,53
US,52
Teleconnect,51
CU,50
California,49
2600,49
SSC MAC,49
TWO,48
BellSouth,48
PHRACK,48
Terminus,48
New York,47
MacDougall,47
Barlow,46
11,45
cDc,45
92,45
BD,45
FEH,44
91,44
day,43
1988,43
300,43
FIRST,43
911,42
Arizona,42
Knight Lightning,41
ONE,41
18,41
1984,40
E911,40
0,39
FCIC,38
United States,37
Atlanta,37
thousands,37
Fry Guy,37
DOS,36
hundreds,36
13,36
Harry,36
16,36
60,35
xXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXxXx,35
370,35
Izenberg,34
Gail Thackeray,34
Jackson,33
years,33
14,33
VAX,32
Bellcore,32
Austin,32
100,32
five,32
Texas,32
1982,31
night,31
914,31
Sysop,31
FCC,30
UUCP,30
26,30
Three,30
50,30
Sundevil,30
TCP,29
25,29
Steve Jackson,29
Godwin,29
U.S.,29
VS,28
15,28
80,28
year,28
12 24,28
ESS,27
212,27
HBO,27
1989,27
30,26
19,26
400,26
TSPS,26
03,25
CALL,25
Today,25
third,25
8D,25
Florida,25
32,24
ANI,24
200,24
zero,24
ed,24
TAP,24
Port Sel,24
Killer,23
4C,23
Apple Mafia,23
SAI,23
Zenner,23
40,23
Atari,23
MIT,23
USENET,23
102,22
Berkeley,22
386,22
Digital,22
Cyberspace,22
Steve Jackson Games,22
Dallas,22
more than one,22
Washington,22
JMP,22
02,22
1000,22
Boston,22
NASA,21
Georgia,21
Chicago Task Force,21
b1,20
1985,20
New York City,20
1986,20
1600,20
21,20
17,20
Congress,20
Phrack Inc.,20
LDA,20
49,20
VAX VMS,19
415,19
UDP,19
IP,19
USSS,19
Luckenbill,19
Programmer,19
Cook,19
238 8195,19
six,19
Ethernet,19
Goldstein,19
800,18
half,18
Swamp Ratte',18
VAX VMS      ,18
48,18
64,18
23,18
1960s,18
3.3,18
DEC,18
Thackeray,18
Illinois,18
3CPU,18
312,18
Real Programmer,18
Kyrie,17
500,17
Illuminati,17
Sherwood Forest,17
AE,17
90,17
88,17
29,17
Jolnet,17
Optik,17
27,17
CZ,17
08 89,17
San Francisco,17
Con,16
THREE,16
1993,16
Vail,16
Two,16
RS232,16
Ma Bell,16
Leftist,16
Dorothy Denning,16
314,16
Shadowhawk,16
ten,16
Foley,16
718,15
daily,15
Document,15
FLETC,15
Tao,15
1983,15
96,15
Stoll,15
256,15
2000,15
English,15
hours,15
SF,15
months,15
Grateful Dead,15
Real Programmers,15
Blue Box,15
N,15
ST,15
85,15
CLASS,15
MMOC,15
Mentor,15
Massachusetts,15
LOD H Technical Journal,15
Carlton Fitzpatrick,14
Lzh,14
Jane,14
1987,14
Stanley,14
201,14
Telco,14
3 4,14
TIME,14
Bruce Sterling,14
week,14
dozens,14
New Jersey,14
Bookie,13
9600,13
Bell Labs,13
Constitution,13
at least one,13
TRW,13
ISDN,13
us,13
Houston,13
Electronic Frontier Foundation,13
ETC,13
10 89,13
1A,13
Lotus,13
Wood,13
Swiss,13
Second,13
Nagle,13
08,13
59,13
Next,12
Boykin,12
127,12
SJG,12
Mitch Kapor,12
LOD,12
FTP,12
10,000,12
1991,12
hundred,12
DTMF,12
408,12
NOP,12
PSAP,12
Canada,12
Bell System,12
38,12
British,12
nine,12
1 carat,12
11 89,12
2600Hz,12
De Beers,12
Treasury,12
Kluepfel,12
28,12
Sun,12
SCC,12
01,12
Steve,11
Burma,11
05,11
99,11
Appendix,11
414,11
55,11
150,11
Erik Bloodaxe,11
F1,11
Bob,11
1200,11
Worm,11
Soviet,11
Phrack,11
OFF,11
TKOS,11
Linux,11
eight,11
Craig Neidorf,11
Western Union,11
John Perry Barlow,11
SnoCrash,11
110,11
RAI,11
Dick,11
07 89,11
1 14,11
304,11
19.4.11.A,11
ReDragon,11
3000,11
State,10
Andrews,10
Richard Andrews,10
Hacker Crackdown,10
Sally,10
ICMP,10
22,10
Macintosh,10
1980s,10
3F,10
58,10
4ESS,10
ASL,10
Jason,10
1 2,10
Captain Midnight,10
0A,10
AP,10
INSTRUCTIONS,10
ReD,10
ORA,10
INY,10
20.2.0,10
United States Secret Service,10
Con Solo,10
37,10
JUMP,10
month,10
dozen,10
24 Hours,10
Tuesday,10
56,10
Williams,10
Legion,10
313,10
Taran King,10
Thou,10
69,10
73,9
BBS,9
213,9
MAC,9
BP,9
July,9
45,9
2400,9
Wyoming,9
120,9
only one,9
84,9
T0,9
75,9
F Net,9
806,9
Michigan,9
750,9
days,9
342,9
NuPrometheus,9
WAY,9
Encyclopedia Brown,9
Iowa,9
Fry Guy's,9
600,9
tomorrow,9
SAM,9
1.0,9
MF,9
System 7,9
Gentile,9
New York Times,9
Vadic,9
67,9
Webster,9
Control C,9
Thursday,9
Alexander Graham Bell,9
Kammer,9
MONITOR S R,9
Brazil,9
1990s,9
1500,9
Tim Foley,9
System,9
Section 1030,9
89,9
Pantheon,9
00,9
250,9
Hoffman,9
fourth,9
French,9
42,9
Sunday,9
Apollo,9
00XX,9
EC,9
Soviets,9
1992,8
1980,8
s,8
220,8
XBBS,8
221,8
Los Angeles,8
79,8
3.2,8
Okinawa,8
33,8
66,8
6000,8
Section 1029,8
255,8
Groups,8
Fitzpatrick,8
Delaney,8
Hz,8
Michigan Bell,8
95,8
TDR,8
millions,8
morning,8
Detroit,8
2 14,8
YIPL,8
Megaterm,8
NPA,8
Ohio,8
IRC,8
286,8
earth,8
weeks,8
C0,8
Californian,8
seven,8
06,8
46,8
Emmanuel Goldstein,8
Chicago Computer Fraud,8
SCO,8
ten thousand,8
BOC,8
Evelyn,8
VMS,8
CIA,8
STARTING,8
Washington DC,8
Cedar Rapids,8
39,8
Chris,8
Netsys,8
Ed,8
Chatham,8
Bantam Books,8
Japan,7
Connecticut,7
Virginia,7
08 88,7
Americans,7
Randall,7
Neon Knights,7
NRC,7
fifth,7
Mitnick,7
2A,7
LED,7
FF,7
Thing King,7
Felton,7
44,7
Lex,7
Maryland,7
PLUGH,7
310,7
ALI,7
1979,7
Parker,7
ABBS,7
U.S. Secret Service,7
Scott,7
NE,7
Task Force,7
Kyhl,7
First Amendment,7
2 2,7
AC,7
24 hour,7
Mark Tabas,7
34,7
Greek,7
Stone,7
William Cook,7
Mike Godwin,7
Missouri,7
European,7
36,7
Telebit,7
Electronic Communications Privacy Act,7
1001,7
AF,7
Blotto,7
six months,7
98,7
51,7
MBT,7
Lamp,7
SxS,7
WARNING,7
Ocala,7
LDA     ,7
University of Texas,7
Robert Izenberg,7
Secret Service's,7
Long Island,7
09,7
Abbie Hoffman,7
RFC,7
HP 3000      ,7
Indiana,7
05 89,7
one day,7
Monday,7
US Secret Service,7
0F,7
ON,7
MONITOR,7
quarterly,7
1971,7
Switzerland,7
AIMSX,7
David,7
LMOS,7
KRAKOWICZ,7
KRACKING KORNER,7
305,7
Urvile,7
Dragonfire,7
Dragons Lair III,7
REAL PIRATES,7
CPSR,7
617,7
WAREZ,7
Colombia,7
47,7
Phrack World News,7
320,6
5ESS,6
E911 Center,6
VAX VMS     ,6
RTS,6
Sprint,6
8BBS,6
Baby Bells,6
France,6
2nd,6
1976,6
Milliamp Falcon,6
Four,6
1981,6
Service,6
RT,6
4 4,6
8FF,6
KRACK,6
3.1,6
SIX,6
Bugs,6
September,6
nineteenth century,6
2 3,6
KGB,6
Kenobie,6
1 28,6
middle of the night,6
Tuc,6
GOTO,6
70,6
Vietnam,6
Crackdown,6
Glynco,6
Omar,6
ARP,6
Denning,6
Pennsylvania,6
1 4,6
RAM,6
Blottoland,6
Doc Cypher,6
South Africa,6
Donn Parker,6
England,6
Operation Sundevil,6
Star Trek,6
09 89,6
Solo,6
4123,6
Phoenix Project,6
Silicon Valley,6
GIA,6
twenty,6
Condor,6
618,6
ALTOS,6
Martin Luther,6
Pittsburgh,6
VMB,6
003,6
416,6
ROM,6
202,6
Minion's,6
sysop,6
4.3,6
Network,6
APPLE,6
Britain,6
tandem,6
COROLLARY,6
more than 10,6
January 15, 1990,6
St. Louis,6
31,6
3090,6
hour,6
Cambridge,6
GEnie,6
SECOND,6
Vol,6
Texan,6
BNE,6
Luder,6
IRS,6
76,6
128,6
Europe,6
OS,6
decades,6
Fee,6
Hayward,6
Safehouse,6
F  Heroes,6
Coke,6
eighteen,6
Atlanta LoD,6
REAL,6
San Jose,6
Sauron,6
Purity Test,6
57,6
twelve,6
tonight,6
801,6
359,6
Yippie,6
early 1980s,6
SPST,6
few weeks,6
503,6
Zafir,6
Yippies,6
CLID,6
100,000,6
North America,6
108,6
352,6
MAIL,6
last year,6
CA,6
W,6
3B2,6
Australia,6
24 96,6
43,6
No!,6
North Carolina,6
X25600,6
University of Washington,6
Federal Communications Commission,6
07,5
Jim,5
04,5
216,5
4000,5
Drake,5
41,5
Southern Bell,5
20.0.4,5
John,5
START,5
512,5
Silicon Scorpion,5
CFP,5
S0,5
Cleveland,5
Louisville,5
Malcolm,5
54,5
midnight,5
61,5
DE,5
VOS,5
TAY,5
68,5
DiCicco,5
year ago,5
52,5
Germany,5
72,5
San Diego,5
303,5
Creative Cracker,5
Denver,5
SAVE,5
Cincinnati,5
29 55,5
CDC,5
Canadian,5
FILE,5
yesterday,5
Datacrime,5
afternoon,5
Robert Morris,5
Login Incorrect,5
109,5
NYNEX,5
Metal Shop,5
CB,5
223,5
2.0,5
3 19 93,5
STUFF,5
November 17, 1989,5
China,5
Copyright,5
CitiBank,5
Xerox,5
Kenobi,5
63,5
NY,5
Miami,5
try_password,5
20,000,5
230,5
Philadelphia,5
10x,5
Digital Equipment Corporation,5
GTE,5
John Markoff,5
1865,5
pubic,5
Demon Seed Elite,5
WE,5
3 3,5
445,5
Crash,5
Stanford,5
BIOC,5
Shell,5
NEW YORK TIMES,5
5005,5
decade,5
4X,5
DO,5
National Security Agency,5
Frank,5
Charlotte,5
714,5
2500,5
UPC,5
NEWSWEEK,5
Arpanet,5
Arrakis,5
ACM,5
Radio Shack,5
206 543,5
EOR,5
NODE,5
warez,5
Five,5
Taran,5
1002,5
Holistic,5
245,5
407,5
Commission,5
USC,5
USA,5
10 year,5
Bullock,5
8E,5
VAX VMS                                                                                      ,5
2 11,5
BS 2,5
Charles Boykin,5
Columbia,5
RBOC,5
Educational Computing Network,5
