declarationbarlow1996.txt,5089,5089,252.7,4.08,114.66,1996,1996,1996,declaration,
peat.hum,521,532,56.67,2.13,8.33,nd.,nd.,nd.,textfile,
killsant.hum,3410,3497,57.29,1.6,5.27,1994,1994,1994,textfile,
pezrambl.oct,20660,20975,68.49,1.83,9.33,1987-1987,1987,1987,textfile,
warning.hum,2492,2537,71.97,1.23,4.46,nd.,nd.,nd.,textfile,
phrack.29.phk,235777,235777,63.08,2.15,11.78,1960-1994,1960,1994,textfile,
black.box,4314,4460,34.45,1.06,4.97,nd.,nd.,nd.,textfile,
noise.ana,3581,3679,40.98,1.24,3.44,nd.,nd.,nd.,textfile,
hack1.hac,7960,7960,75.54,2.93,18.75,1984,1984,1984,textfile,
lozers.hum,24214,24778,56.44,2.13,9.0,1979-1985,1979,1985,textfile,
intro.hum,5605,5827,35.18,1.75,4.83,1978,1978,1978,textfile,
lod-1,213571,213571,56.44,1.58,5.9,1976-1994,1976,1994,textfile,
highdoc.ana,1382,1408,61.64,2.68,17.29,nd.,nd.,nd.,textfile,
realpira.hum,6324,6529,48.56,2.36,8.13,1984,1984,1984,textfile,
applemaf.hum,20896,21388,54.36,1.81,6.26,1979-1986,1979,1986,textfile,
b00g!.hum,6496,6623,60.66,1.69,5.64,1986,1986,1986,textfile,
k-k00ld.hum,5033,5158,54.53,1.86,5.72,nd.,nd.,nd.,textfile,
copyprot.pro,11218,11392,71.25,3.58,24.83,nd.,nd.,nd.,textfile,
captain.phk,2759,2759,62.86,1.55,5.23,1984,1984,1984,textfile,
suicide,10215,10438,63.63,1.65,9.65,1987,1987,1987,textfile,
.ztr-directory,48,48,48.0,2.0,7.0,nd.,nd.,nd.,textfile,
urine.box,4059,4141,61.88,1.34,7.43,nd.,nd.,nd.,textfile,
stupidki.hac,4843,4942,62.42,3.04,15.98,nd.,nd.,nd.,textfile,
basicom5.phk,18483,18867,57.64,1.87,8.87,1984,1984,1984,textfile,
revolt.dj,2262,2358,36.02,1.49,9.34,nd.,nd.,nd.,textfile,
sexsatan.hum,8822,8979,66.43,1.92,8.41,nd.,nd.,nd.,textfile,
top10.news,4272,4272,61.49,3.08,25.87,nd.,nd.,nd.,textfile,
crossbow,28649,29200,56.22,2.68,16.38,1984-1992,1984,1992,textfile,
anonymit,34657,34657,52.12,2.77,17.83,1960-1992,1960,1992,textfile,
taping.hum,4964,5117,43.74,2.12,8.04,nd.,nd.,nd.,textfile,
hack11a.txt,679083,692945,56.38,3.28,16.75,1960-1995,1960,1995,textfile,
icegun.ana,11012,11253,55.52,2.07,7.1,1985,1985,1985,textfile,
angela.art,6546,6656,59.05,0.13,4.61,nd.,nd.,nd.,textfile,
safeinfo.fun,2131,2176,54.89,2.44,8.03,nd.,nd.,nd.,textfile,
intohell.hum,10996,11233,61.48,2.58,10.99,1988,1988,1988,textfile,
lay-girl.txt,15955,16308,56.32,1.69,10.9,nd.,nd.,nd.,textfile,
bhbb1.hac,9837,9837,33.54,1.93,7.42,1980,1980,1980,textfile,
gems.txt,73969,75172,65.2,2.65,13.26,1960-1992,1960,1992,textfile,
dodontae.hum,9211,9385,63.2,2.28,8.41,1985,1985,1985,textfile,
diskgone.ana,614,627,50.08,1.85,4.65,nd.,nd.,nd.,textfile,
catstuff.app,9610,9818,50.82,1.24,2.86,nd.,nd.,nd.,textfile,
famous.bug,51527,52609,55.93,2.88,11.01,1961-1985,1961,1985,textfile,
real.pgmrs,23955,23955,58.44,2.83,18.16,1969-1982,1969,1982,textfile,
howtobbs.txt,9053,9216,62.17,2.38,10.46,nd.,nd.,nd.,textfile,
watchem.phk,3547,3635,52.41,2.28,7.45,1984,1984,1984,textfile,
realpez.oct,16079,16384,52.23,0.89,13.64,1987,1987,1987,textfile,
taoprogram.pro,26293,27266,53.99,1.46,6.49,nd.,nd.,nd.,textfile,
warnings.ufo,1006,1031,54.5,2.58,16.78,nd.,nd.,nd.,textfile,
vaxen.jok,14871,15163,56.83,1.72,18.24,1987,1987,1987,textfile,
tr823.txt,104707,106655,57.96,3.2,17.12,1972-1988,1972,1988,textfile,
codegeek.txt,20393,20841,53.61,1.4,8.77,1993-1993,1993,1993,textfile,
adventur.txt,7627,7758,66.34,1.72,17.0,nd.,nd.,nd.,textfile,
paging_g.ame,4170,4275,49.57,2.11,14.16,1981,1981,1981,textfile,
hack7.txt,3893,3988,53.46,2.13,14.52,nd.,nd.,nd.,textfile,
ludeinfo.hum,9110,9298,59.09,2.25,8.3,1984,1984,1984,textfile,
cDc-0200.txt,124155,124155,56.83,1.96,11.99,1964-1993,1964,1993,textfile,
jihad.nfo,16916,17180,72.4,0.24,2.14,nd.,nd.,nd.,textfile,
phrack.01.phk,29195,29195,50.72,1.05,6.55,1985,1985,1985,textfile,
tencoms.pro,997,1029,45.95,2.06,11.4,nd.,nd.,nd.,textfile,
modemlif.hac,10913,11074,71.21,2.87,16.86,1983,1983,1983,textfile,
warbitch.txt,9070,9225,67.03,2.31,7.47,1984,1984,1984,textfile,
revhack.omn,6266,6266,69.28,2.07,12.83,1984,1984,1984,textfile,
infobugs.adv,3852,3930,66.21,2.92,16.39,nd.,nd.,nd.,textfile,
purity.txt,57834,58845,58.1,1.95,10.86,1982-1988,1982,1988,textfile,
hack_ths.txt,148109,148109,60.42,1.21,21.25,1971-1989,1971,1989,textfile,
eatingmsh.drg,2028,2028,40.1,2.67,10.46,1993,1993,1993,textfile,
actung.hum,323,332,39.25,2.77,8.49,nd.,nd.,nd.,textfile,
basicom4.phk,17308,17717,55.05,1.96,7.63,1978-1990,1978,1990,textfile,
upc.txt,6726,6726,55.14,1.45,7.89,nd.,nd.,nd.,textfile,
bofh.1,3737,3854,50.99,2.28,10.5,nd.,nd.,nd.,textfile,
bc760mod.ham,1379,1408,51.85,1.78,4.63,nd.,nd.,nd.,textfile,
balls.txt,2781,2845,60.38,1.57,6.47,1990,1990,1990,textfile,
iaad.txt,70245,71551,59.62,1.67,8.1,1986-1993,1986,1993,textfile,
billrights.fun,3659,3746,56.7,3.88,18.41,nd.,nd.,nd.,textfile,
914bbs.txt,3896,3968,56.19,0.74,1.77,1984,1984,1984,textfile,
elite.cmd,5748,5946,34.9,1.78,6.02,1982,1982,1982,textfile,
leeches!.hum,11055,11312,53.46,1.93,7.88,1979-1994,1979,1994,textfile,
arttext.fun,3910,4020,46.34,1.45,4.92,nd.,nd.,nd.,textfile,
